** File generated by WinEP - 5/10/2016 (5:23p) **

Station 	StrAV_SW
539.293396	0.381077
540.127380	0.386933
540.961365	0.375257
541.795349	0.362367
542.629333	0.364486
543.463318	0.372090
544.297302	0.377530
545.131226	0.381877
545.965210	0.371021
546.799194	0.359835
547.633179	0.360285
548.467102	0.367435
549.301086	0.374016
550.135071	0.376043
550.968994	0.359744
551.802979	0.363626
552.636963	0.358701
553.470947	0.373087
554.304871	0.368437
555.138855	0.340923
555.972839	0.360241
556.806824	0.353389
557.640808	0.364304
558.474731	0.358456
559.308716	0.372981
560.142700	0.366968
560.976746	0.325241
561.810730	0.354221
562.644775	0.353862
563.478760	0.364111
564.312744	0.358618
565.146790	0.371585
565.980774	0.350522
566.814758	0.318963
567.648743	0.355485
568.482727	0.354933
569.316711	0.364240
570.150696	0.357966
570.984741	0.356086
571.818726	0.345228
572.652710	0.319703
573.486694	0.355305
574.320679	0.355008
575.154663	0.363751
575.988647	0.342187
576.822693	0.351200
577.656677	0.345957
578.490662	0.321039
579.324707	0.357121
580.158691	0.355125
580.992737	0.348431
581.826782	0.337117
582.660828	0.352663
583.494873	0.347774
584.328857	0.322477
585.162903	0.356754
585.996948	0.340961
586.830933	0.344708
587.664978	0.339446
588.498962	0.354972
589.333008	0.350030
590.166992	0.323315
591.001038	0.342287
591.835022	0.336306
592.669067	0.346356
593.503113	0.335058
594.337097	0.362609
595.171143	0.342869
596.005127	0.274512
596.839172	0.348916
597.673218	0.340246
598.507202	0.353451
599.341248	0.332076
600.175293	0.359712
601.009399	0.339800
601.843445	0.272355
602.677490	0.346311
603.511536	0.337909
604.345581	0.353259
605.179688	0.331134
606.013733	0.359205
606.847778	0.339227
607.681824	0.310609
608.515869	0.345730
609.349854	0.338174
610.183899	0.351937
611.017944	0.330643
611.851990	0.357783
612.686035	0.338249
613.520081	0.271315
614.354126	0.344809
615.188171	0.336439
616.022217	0.351491
616.856262	0.330974
617.690369	0.357216
618.524414	0.337972
619.358459	0.309478
