炉石传说：【天天素材库】 第28期
up主: 天天卡牌
时间	发送日期		弹幕内容
03:19	11-07 19:20:26	bgm that man	
04:51	11-07 19:20:38	yes.i can	
00:36	11-07 19:20:42	前前前	
04:07	11-07 19:20:43	士兵们，提起裤子	
08:32	11-07 19:20:50	23333333我的金色傻龙早分了3200	
04:42	11-07 19:21:19	都闭嘴了，然而。。。	
00:06	11-07 19:21:23	前十万	
08:21	11-07 19:21:58	干得漂亮	
01:49	11-07 19:22:02	你把酋长藏哪了	
02:12	11-07 19:22:10	大哥光芒万丈	
01:59	11-07 19:22:30	夫妻档	
00:20	11-07 19:22:32	这BGM	
02:38	11-07 19:22:40	画风突变	
00:13	11-07 19:22:41	这BGM是酒馆改成酒吧了	
06:06	11-07 19:22:48	对不起，我是警察	
00:10	11-07 19:22:54	BGM AV4193048自己看	
00:49	11-07 19:23:54	BGM AV4193048	
00:01	11-07 19:24:10	600？	
00:12	11-07 19:24:33	欢迎回来！！！	
07:18	11-07 19:24:31	酋长的血泪史	
00:03	11-07 19:24:52	欢迎回来！	
00:08	11-07 19:25:07	欢迎回来！	
02:45	11-07 19:25:32	不，是176，还有猎犬的冲锋	
07:53	11-07 19:25:39	滑稽:我就看看，不说话	
07:52	11-07 19:26:05	针厉害！	
02:57	11-07 19:26:06	GTR来了	
04:08	11-07 19:26:29	左下角瞩目	
01:07	11-07 19:26:38	王牌双狙要手速的吧	
00:14	11-07 19:27:20	欢迎回来	
00:12	11-07 19:27:20	第二百五	
08:35	11-07 19:27:59	好看	
00:16	11-07 19:28:00	欢迎回来！	
03:05	11-07 19:28:23	法神vurtne！	
00:06	11-07 19:28:36	欢迎回来	
04:37	11-07 19:28:58	bgm不对啊	
01:01	11-07 19:29:31	第一	
06:45	11-07 19:29:45	1074	
00:31	11-07 19:30:09	JJ	
01:11	11-07 19:30:12	说王牌双狙的先去下游戏	
06:47	11-07 19:30:30	23333333	
00:29	11-07 19:31:02	解	
00:23	11-07 19:32:05	卧槽bgm燃啊	
01:26	11-07 19:32:22	解	
00:05	11-07 19:32:51	我就是力量的化身！！！w...	
01:12	11-07 19:33:30	老毕gay~老毕gay~	
00:06	11-07 19:33:45	一千以内	
02:57	11-07 19:34:05	解	
02:03	11-07 19:34:19	为什么啦啦啦每次都是加兹瑞拉的素材、、、	
07:47	11-07 19:34:22	奶你一口~	
02:17	11-07 19:34:41	咋全是正面教材	
00:00	11-07 19:35:19	没有天天卡牌的两周就好像自己家的猪丢了一样	
03:33	11-07 19:35:15	解	
07:32	11-07 19:35:33	天谴之人	
03:33	11-07 19:35:30	解	
00:52	11-07 19:36:49	你不看守望先锋说出来找存在？	
04:26	11-07 19:37:16	圣盾打脸才是最亏的	
04:48	11-07 19:37:28	桌子瑟瑟发抖、	
00:25	11-07 19:37:44	BGM：炉石传说主题曲摇滚版	
00:03	11-07 19:37:52	前七万	
00:30	11-07 19:37:57	BGM：炉石传说主题曲摇滚版	
02:30	11-07 19:38:15	祖尔法拉克敲铜锣！！！！	
00:13	11-07 19:38:25	有生之年	
00:00	11-07 19:38:39	去TM的TTKP，素材帝永不为奴！	
02:52	11-07 19:38:41	我这条命都是四驱车干死的！！！	
07:24	11-07 19:38:50	迵福导演	
01:56	11-07 19:39:34	23333	
00:03	11-07 19:39:37	失踪人口回归	
07:47	11-07 19:39:52	后面滑稽表示不服	
06:42	11-07 19:39:51	我见过夜行比这个好玩多了的为啥没上	
00:16	11-07 19:40:18	蜜汁bgm	
06:05	11-07 19:40:18	这一期素材库有点大制作	
05:45	11-07 19:40:40	镀金了，不亏	
00:43	11-07 19:40:53	tabe？	
06:33	11-07 19:41:02	表白夜吹	
07:48	11-07 19:41:07	23333333	
07:07	11-07 19:42:02	住手，是友军！！！	
02:56	11-07 19:42:09	2333333333333	
07:13	11-07 19:42:59	傻龙：你他娘的老子要休息~	
08:31	11-07 19:42:55	哈哈哈哈哈哈哈哈哈	
07:32	11-07 19:43:40	双杀！	
07:58	11-07 19:44:17	真厉害	
00:06	11-07 19:44:44	失踪人口回归	
05:47	11-07 19:45:06	233333333333333333	
00:47	11-07 19:45:30	垃圾游戏	
00:43	11-07 19:45:22	让你们见识一下暴风城的你娘！	
05:06	11-07 19:45:23	这皮肤怎么拿	
00:08	11-07 19:45:55	弹幕	
00:04	11-07 19:46:39	我在上四个我就是狗	
00:22	11-07 19:47:06	bgm好评！	
07:58	11-07 19:47:38	233333333333	
04:37	11-07 19:48:02	kandao jieju 	
07:54	11-07 19:48:52	这个真是ｔｍ屌的不行	
06:01	11-07 19:48:40	傻龙：你说射一箭你死？哦好的	
03:51	11-07 19:49:05	左上介绍瞩目	
05:42	11-07 19:49:08	哈哈哈哈哈哈	
05:09	11-07 19:50:25	233333333	
03:02	11-07 19:50:51	bgm<<thatman》》	
04:46	11-07 19:51:29	女王：“你说啥？”	
02:01	11-07 19:52:15	承包啦神	
00:10	11-07 19:52:45	前！	
07:07	11-07 19:54:03	同福导演	
00:00	11-07 19:54:05	绝对第一个	
07:15	11-07 19:54:10	战吼：对自身造成10点伤害	
00:34	11-07 19:54:19	太久了	
01:52	11-07 19:54:28	く！	
08:34	11-07 19:54:39	但是狗贼又合回来了	
02:22	11-07 19:54:56	吾王！	
07:54	11-07 19:55:20	23333333	
07:57	11-07 19:55:28	生无可恋	
07:57	11-07 19:55:43	滑稽脸瞩目	
02:53	11-07 19:55:44	我这条命都是四驱车给的	
02:33	11-07 19:56:13	大哥说173就173	
03:51	11-07 19:56:27	交了也没用	
03:21	11-07 19:56:29	怕个球	
08:44	11-07 19:56:57	我觉得很不错了	
00:25	11-07 19:57:26	bgm hearthrock Elvins.J	
04:51	11-07 19:57:36	是是是，一换一	
05:59	11-07 19:57:29	对不起 我是保安	
07:46	11-07 19:57:53	生无可恋.jpg	
05:27	11-07 19:58:02	我台主播！	
06:26	11-07 19:59:01	23333333333333	
00:05	11-07 19:59:59	第一	
07:32	11-07 20:00:18	10费灾难片	
07:52	11-07 20:00:27	往死里奶	
00:00	11-07 20:00:28	第一	
07:35	11-07 20:02:13	解	
00:07	11-07 20:03:24	加油无无素材库	
08:25	11-07 20:03:25	求这段bgm	
07:14	11-07 20:04:03	同福影业	
00:03	11-07 20:04:33	这么快就开了呀	
00:09	11-07 20:04:59	周指活！！！	
01:45	11-07 20:05:18	在现场 	
00:11	11-07 20:05:34	前	
05:35	11-07 20:06:44	在现场	
08:36	11-07 20:06:47	还好我分的快	
00:02	11-07 20:06:50	欢迎回来！！	
08:17	11-07 20:08:08	想想傻龙过去的所作所为	
04:17	11-07 20:08:59	这不是以前的中速骑吗	
00:00	11-07 20:09:24	终于	
00:10	11-07 20:09:35	终于更新了	
03:48	11-07 20:09:27	还真有点像夜吹啊	
04:12	11-07 20:11:17	熊大的那个别走	
08:27	11-07 20:11:20	这期质量爆炸谢谢无无卡牌	
01:11	11-07 20:12:10	想屠暴风城？	
00:00	11-07 20:12:14	第一？	
06:57	11-07 20:13:01	10费法术:跳过本回合	
04:17	11-07 20:13:03	好久没有看到军需官了，士兵们提起裤衩！	
02:41	11-07 20:13:19	大哥光芒万丈！	
07:33	11-07 20:13:24	一个不留233333	
02:21	11-07 20:14:18	大哥光芒万丈	
07:10	11-07 20:14:18	同福傻龙	
00:09	11-07 20:14:21	可以	
00:07	11-07 20:14:33	猪更了	
08:04	11-07 20:14:11	看完这个 我决定不合傻龙了	
00:48	11-07 20:14:54	大兵。。？	
08:19	11-07 20:15:18	23333333333	
00:02	11-07 20:15:19	没有逗鱼时刻看我要死了	
05:10	11-07 20:15:26	大工匠2333333	
03:58	11-07 20:16:16	我还有个血骑士啊	
07:14	11-07 20:16:23	干了这碗粥！	
07:38	11-07 20:16:28	瓦娘那个椅子好贵的	
00:11	11-07 20:16:51	大哥说了算	
00:17	11-07 20:18:52	这个BGM不就是炉石登录开始的吗	
00:05	11-07 20:18:56	感动刚刚随手点开天天卡牌空间发现回来了	
02:09	11-07 20:20:31	还记得被伟伦支配的恐惧么？	
00:12	11-07 20:20:38	想你	
00:03	11-07 20:21:16	第一	
04:28	11-07 20:21:19	泰奶奶？！	
06:14	11-07 20:21:40	对不起，我是警察	
03:32	11-07 20:21:43	非洲人的自信	
05:19	11-07 20:21:49	我台主播	
02:36	11-07 20:22:14	对面死了6次	
04:00	11-07 20:24:35	这个好像是我做任务组的卡组	
01:56	11-07 20:24:50	帅帅	
04:11	11-07 20:25:06	暂停学表情	
00:07	11-07 20:25:38	感谢归来  永远支持	
